time,P_e_NM,P_e_Lindblad,coherence_NM,coherence_Lindblad,trace_distance
2.360000000000000142e+01,1.685537636349448420e-01,3.457635911593076594e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.772098275243628174e-01
2.380000000000000071e+01,1.637486875952773313e-01,3.426656803483927871e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.789169927531154558e-01
2.400000000000000000e+01,1.589716069780036101e-01,3.395955256449391113e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.806239186669355012e-01
2.420000000000000284e+01,1.542224134672872116e-01,3.365528783647369626e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.823304648974497510e-01
2.440000000000000213e+01,1.495009993587730901e-01,3.335374920516931407e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.840364926929200506e-01
2.460000000000000142e+01,1.448072575471658907e-01,3.305491224578676612e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.857418649107017705e-01
2.480000000000000071e+01,1.401410815142307698e-01,3.275875275236895257e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.874464460094587559e-01
2.500000000000000000e+01,1.355023653175556064e-01,3.246524673583496834e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.891501020407940770e-01
2.520000000000000284e+01,1.308910035801007510e-01,3.217437042203700748e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.908527006402693238e-01
2.540000000000000213e+01,1.263068914800078435e-01,3.188610024983462021e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.925541110183383586e-01
2.560000000000000142e+01,1.217499247406889085e-01,3.160041286918624515e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.942542039511735430e-01
2.580000000000000071e+01,1.172199996208876382e-01,3.131728513925784441e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.959528517716908058e-01
2.600000000000000000e+01,1.127170129051397462e-01,3.103669412654849746e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.976499283603452284e-01
2.620000000000000284e+01,1.082408618946539836e-01,3.075861710303275376e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.993453091356735540e-01
2.640000000000000213e+01,1.037914443987065227e-01,3.048303154431967754e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.010388710444902527e-01
2.660000000000000142e+01,9.936865872641958974e-02,3.020991512782832955e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.027304925518637058e-01
2.680000000000000071e+01,9.497240367866249811e-02,2.993924573097966335e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.044200536311341354e-01
2.700000000000000000e+01,9.060257854014558410e-02,2.967100142940452545e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.061074357538996704e-01
2.720000000000000284e+01,8.625908307163415722e-02,2.940516049516783137e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.077925218800441565e-01
2.740000000000000213e+01,8.194181750253204388e-02,2.914170139500855683e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.094751964475535244e-01
2.760000000000000142e+01,7.765068252377776981e-02,2.888060278859555519e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.111553453621777821e-01
2.780000000000000071e+01,7.338557928104882944e-02,2.862184352679894572e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.128328559869406278e-01
2.800000000000000000e+01,6.914640936815746874e-02,2.836540264997702843e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.145076171316128155e-01
